source_workbook,release_year,table,jurisdiction,year,fuel_type,vehicles
93090DO001_31201501.xls,2015,Table 5,ACT,2010,diesel,18451.0
93090DO001_31201501.xls,2015,Table 5,ACT,2010,other,6507.0
93090DO001_31201501.xls,2015,Table 5,ACT,2010,petrol_leaded,8668.0
93090DO001_31201501.xls,2015,Table 5,ACT,2010,petrol_total,228890.0
93090DO001_31201501.xls,2015,Table 5,ACT,2010,petrol_unleaded,220222.0
93090DO001_31201501.xls,2015,Table 5,ACT,2010,total,253848.0
93090do001_2016.xls,2016,Table 5,ACT,2011,diesel,21483.0
93090do001_2016.xls,2016,Table 5,ACT,2011,other,6567.0
93090do001_2016.xls,2016,Table 5,ACT,2011,petrol_leaded,7641.0
93090do001_2016.xls,2016,Table 5,ACT,2011,petrol_total,230854.0
93090do001_2016.xls,2016,Table 5,ACT,2011,petrol_unleaded,223213.0
93090do001_2016.xls,2016,Table 5,ACT,2011,total,258904.0
93090do001_2017.xls,2017,Table 5,ACT,2012,diesel,25405.0
93090do001_2017.xls,2017,Table 5,ACT,2012,other,6529.0
93090do001_2017.xls,2017,Table 5,ACT,2012,petrol_leaded,6718.0
93090do001_2017.xls,2017,Table 5,ACT,2012,petrol_total,235230.0
93090do001_2017.xls,2017,Table 5,ACT,2012,petrol_unleaded,228512.0
93090do001_2017.xls,2017,Table 5,ACT,2012,total,267164.0
93090do001_2018.xls,2018,Table 5,ACT,2013,diesel,29815.0
93090do001_2018.xls,2018,Table 5,ACT,2013,other,6556.0
93090do001_2018.xls,2018,Table 5,ACT,2013,petrol_leaded,5888.0
93090do001_2018.xls,2018,Table 5,ACT,2013,petrol_total,237553.0
93090do001_2018.xls,2018,Table 5,ACT,2013,petrol_unleaded,231665.0
93090do001_2018.xls,2018,Table 5,ACT,2013,total,273924.0
93090do001_2019.xls,2019,Table 5,ACT,2014,diesel,34325.0
93090do001_2019.xls,2019,Table 5,ACT,2014,other,6447.0
93090do001_2019.xls,2019,Table 5,ACT,2014,petrol_leaded,5335.0
93090do001_2019.xls,2019,Table 5,ACT,2014,petrol_total,238580.0
93090do001_2019.xls,2019,Table 5,ACT,2014,petrol_unleaded,233245.0
93090do001_2019.xls,2019,Table 5,ACT,2014,total,279352.0
93090do001_2020.xls,2020,Table 5,ACT,2015,diesel,38543.0
93090do001_2020.xls,2020,Table 5,ACT,2015,other,6177.0
93090do001_2020.xls,2020,Table 5,ACT,2015,petrol_leaded,4898.0
