source_workbook,release_year,table,vehicle_type,year,fuel_type,vehicles
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2011,petrol_leaded,401751.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2011,petrol_unleaded,10947713.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2011,petrol_total,11349464.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2011,diesel,763853.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2011,other,360727.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2011,total,12474044.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2015,petrol_leaded,268626.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2015,petrol_unleaded,11640435.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2015,petrol_total,11909061.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2015,diesel,1322395.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2015,other,317993.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2015,total,13549449.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2016,petrol_leaded,250854.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2016,petrol_unleaded,11801876.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2016,petrol_total,12052730.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2016,diesel,1464429.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2016,other,297948.0
93090do001_2016.xls,2016,Table 4,Passenger vehicles,2016,total,13815107.0
93090do001_2016.xls,2016,Table 4,Campervans,2011,petrol_leaded,8337.0
93090do001_2016.xls,2016,Table 4,Campervans,2011,petrol_unleaded,9231.0
93090do001_2016.xls,2016,Table 4,Campervans,2011,petrol_total,17568.0
93090do001_2016.xls,2016,Table 4,Campervans,2011,diesel,30629.0
93090do001_2016.xls,2016,Table 4,Campervans,2011,other,2456.0
93090do001_2016.xls,2016,Table 4,Campervans,2011,total,50653.0
93090do001_2016.xls,2016,Table 4,Campervans,2015,petrol_leaded,6014.0
93090do001_2016.xls,2016,Table 4,Campervans,2015,petrol_unleaded,12586.0
93090do001_2016.xls,2016,Table 4,Campervans,2015,petrol_total,18600.0
93090do001_2016.xls,2016,Table 4,Campervans,2015,diesel,37653.0
93090do001_2016.xls,2016,Table 4,Campervans,2015,other,2035.0
93090do001_2016.xls,2016,Table 4,Campervans,2015,total,58288.0
93090do001_2016.xls,2016,Table 4,Campervans,2016,petrol_leaded,5516.0
