source_workbook,release_year,table,vehicle_type,year,jurisdiction,average_age_years
93090DO001_31201501.xls,2015,Table 3,Articulated trucks,2010,ACT,9.1
93090DO001_31201501.xls,2015,Table 3,Articulated trucks,2010,AUS,10.9
93090DO001_31201501.xls,2015,Table 3,Articulated trucks,2010,NSW,10.1
93090DO001_31201501.xls,2015,Table 3,Articulated trucks,2010,NT,12.1
93090DO001_31201501.xls,2015,Table 3,Articulated trucks,2010,QLD,10.3
93090DO001_31201501.xls,2015,Table 3,Articulated trucks,2010,SA,10.8
93090DO001_31201501.xls,2015,Table 3,Articulated trucks,2010,TAS,9.5
93090DO001_31201501.xls,2015,Table 3,Articulated trucks,2010,VIC,11.4
93090DO001_31201501.xls,2015,Table 3,Articulated trucks,2010,WA,11.8
93090do001_2016.xls,2016,Table 3,Articulated trucks,2011,ACT,9.1
93090do001_2016.xls,2016,Table 3,Articulated trucks,2011,AUS,11.3
93090do001_2016.xls,2016,Table 3,Articulated trucks,2011,NSW,11.2
93090do001_2016.xls,2016,Table 3,Articulated trucks,2011,NT,12.0
93090do001_2016.xls,2016,Table 3,Articulated trucks,2011,QLD,10.6
93090do001_2016.xls,2016,Table 3,Articulated trucks,2011,SA,11.5
93090do001_2016.xls,2016,Table 3,Articulated trucks,2011,TAS,9.7
93090do001_2016.xls,2016,Table 3,Articulated trucks,2011,VIC,11.7
93090do001_2016.xls,2016,Table 3,Articulated trucks,2011,WA,11.9
93090do001_2017.xls,2017,Table 3,Articulated trucks,2012,ACT,9.4
93090do001_2017.xls,2017,Table 3,Articulated trucks,2012,AUS,11.5
93090do001_2017.xls,2017,Table 3,Articulated trucks,2012,NSW,11.2
93090do001_2017.xls,2017,Table 3,Articulated trucks,2012,NT,11.9
93090do001_2017.xls,2017,Table 3,Articulated trucks,2012,QLD,10.9
93090do001_2017.xls,2017,Table 3,Articulated trucks,2012,SA,11.4
93090do001_2017.xls,2017,Table 3,Articulated trucks,2012,TAS,10.3
93090do001_2017.xls,2017,Table 3,Articulated trucks,2012,VIC,12.0
93090do001_2017.xls,2017,Table 3,Articulated trucks,2012,WA,12.0
93090do001_2018.xls,2018,Table 3,Articulated trucks,2013,ACT,9.9
93090do001_2018.xls,2018,Table 3,Articulated trucks,2013,AUS,11.5
93090do001_2018.xls,2018,Table 3,Articulated trucks,2013,NSW,11.3
93090do001_2018.xls,2018,Table 3,Articulated trucks,2013,NT,11.8
93090do001_2018.xls,2018,Table 3,Articulated trucks,2013,QLD,10.9
93090do001_2018.xls,2018,Table 3,Articulated trucks,2013,SA,11.3
93090do001_2018.xls,2018,Table 3,Articulated trucks,2013,TAS,10.7
93090do001_2018.xls,2018,Table 3,Articulated trucks,2013,VIC,12.1
93090do001_2018.xls,2018,Table 3,Articulated trucks,2013,WA,11.8
93090do001_2019.xls,2019,Table 3,Articulated trucks,2014,ACT,9.8
93090do001_2019.xls,2019,Table 3,Articulated trucks,2014,AUS,11.4
93090do001_2019.xls,2019,Table 3,Articulated trucks,2014,NSW,11.2
93090do001_2019.xls,2019,Table 3,Articulated trucks,2014,NT,11.7
93090do001_2019.xls,2019,Table 3,Articulated trucks,2014,QLD,10.9
93090do001_2019.xls,2019,Table 3,Articulated trucks,2014,SA,11.3
93090do001_2019.xls,2019,Table 3,Articulated trucks,2014,TAS,10.7
93090do001_2019.xls,2019,Table 3,Articulated trucks,2014,VIC,12.0
93090do001_2019.xls,2019,Table 3,Articulated trucks,2014,WA,11.8
93090do001_2020.xls,2020,Table 3,Articulated trucks,2015,ACT,9.8
93090do001_2020.xls,2020,Table 3,Articulated trucks,2015,AUS,11.5
93090do001_2020.xls,2020,Table 3,Articulated trucks,2015,NSW,11.2
93090do001_2020.xls,2020,Table 3,Articulated trucks,2015,NT,11.7
93090do001_2020.xls,2020,Table 3,Articulated trucks,2015,QLD,10.9
93090do001_2020.xls,2020,Table 3,Articulated trucks,2015,SA,11.2
93090do001_2020.xls,2020,Table 3,Articulated trucks,2015,TAS,10.8
93090do001_2020.xls,2020,Table 3,Articulated trucks,2015,VIC,12.1
93090do001_2020.xls,2020,Table 3,Articulated trucks,2015,WA,11.8
93090do001_2021.xls,2021,Table 3,Articulated trucks,2016,ACT,10.1
93090do001_2021.xls,2021,Table 3,Articulated trucks,2016,AUS,11.6
93090do001_2021.xls,2021,Table 3,Articulated trucks,2016,NSW,11.2
93090do001_2021.xls,2021,Table 3,Articulated trucks,2016,NT,12.1
93090do001_2021.xls,2021,Table 3,Articulated trucks,2016,QLD,11.1
93090do001_2021.xls,2021,Table 3,Articulated trucks,2016,SA,11.2
93090do001_2021.xls,2021,Table 3,Articulated trucks,2016,TAS,10.9
93090do001_2021.xls,2021,Table 3,Articulated trucks,2016,VIC,12.1
93090do001_2021.xls,2021,Table 3,Articulated trucks,2016,WA,12.1
93090do001_2018.xls,2018,Table 3,Articulated trucks,2017,ACT,10.4
93090do001_2018.xls,2018,Table 3,Articulated trucks,2017,AUS,11.9
93090do001_2018.xls,2018,Table 3,Articulated trucks,2017,NSW,11.4
93090do001_2018.xls,2018,Table 3,Articulated trucks,2017,NT,12.7
