source_workbook,release_year,table,vehicle_type,year,jurisdiction,vehicles
93090DO001_31201501.xls,2015,Table 1,Articulated trucks,2010,ACT,196.0
93090DO001_31201501.xls,2015,Table 1,Articulated trucks,2010,AUS,82436.0
93090DO001_31201501.xls,2015,Table 1,Articulated trucks,2010,NSW,16907.0
93090DO001_31201501.xls,2015,Table 1,Articulated trucks,2010,NT,1033.0
93090DO001_31201501.xls,2015,Table 1,Articulated trucks,2010,QLD,18648.0
93090DO001_31201501.xls,2015,Table 1,Articulated trucks,2010,SA,7310.0
93090DO001_31201501.xls,2015,Table 1,Articulated trucks,2010,TAS,1637.0
93090DO001_31201501.xls,2015,Table 1,Articulated trucks,2010,VIC,24476.0
93090DO001_31201501.xls,2015,Table 1,Articulated trucks,2010,WA,12229.0
93090do001_2016.xls,2016,Table 1,Articulated trucks,2011,ACT,183.0
93090do001_2016.xls,2016,Table 1,Articulated trucks,2011,AUS,85965.0
93090do001_2016.xls,2016,Table 1,Articulated trucks,2011,NSW,18578.0
93090do001_2016.xls,2016,Table 1,Articulated trucks,2011,NT,1069.0
93090do001_2016.xls,2016,Table 1,Articulated trucks,2011,QLD,18899.0
93090do001_2016.xls,2016,Table 1,Articulated trucks,2011,SA,7835.0
93090do001_2016.xls,2016,Table 1,Articulated trucks,2011,TAS,1677.0
93090do001_2016.xls,2016,Table 1,Articulated trucks,2011,VIC,25134.0
93090do001_2016.xls,2016,Table 1,Articulated trucks,2011,WA,12590.0
93090do001_2017.xls,2017,Table 1,Articulated trucks,2012,ACT,169.0
93090do001_2017.xls,2017,Table 1,Articulated trucks,2012,AUS,87995.0
93090do001_2017.xls,2017,Table 1,Articulated trucks,2012,NSW,19009.0
93090do001_2017.xls,2017,Table 1,Articulated trucks,2012,NT,1099.0
93090do001_2017.xls,2017,Table 1,Articulated trucks,2012,QLD,19595.0
93090do001_2017.xls,2017,Table 1,Articulated trucks,2012,SA,8016.0
93090do001_2017.xls,2017,Table 1,Articulated trucks,2012,TAS,1625.0
93090do001_2017.xls,2017,Table 1,Articulated trucks,2012,VIC,25265.0
93090do001_2017.xls,2017,Table 1,Articulated trucks,2012,WA,13217.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2013,ACT,161.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2013,AUS,90904.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2013,NSW,19505.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2013,NT,1181.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2013,QLD,20720.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2013,SA,7988.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2013,TAS,1563.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2013,VIC,25560.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2013,WA,14226.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2014,ACT,147.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2014,AUS,93853.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2014,NSW,19906.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2014,NT,1233.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2014,QLD,21496.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2014,SA,8326.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2014,TAS,1584.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2014,VIC,26107.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2014,WA,15054.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2015,ACT,143.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2015,AUS,94975.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2015,NSW,20622.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2015,NT,1229.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2015,QLD,21060.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2015,SA,8429.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2015,TAS,1652.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2015,VIC,26160.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2015,WA,15680.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2016,ACT,160.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2016,AUS,96185.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2016,NSW,21450.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2016,NT,1259.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2016,QLD,20784.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2016,SA,8423.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2016,TAS,1721.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2016,VIC,26779.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2016,WA,15609.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2017,ACT,169.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2017,AUS,98108.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2017,NSW,22472.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2017,NT,1145.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2017,QLD,21162.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2017,SA,8638.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2017,TAS,1808.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2017,VIC,27472.0
93090do001_2018.xls,2018,Table 1,Articulated trucks,2017,WA,15242.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2018,ACT,168.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2018,AUS,100694.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2018,NSW,22795.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2018,NT,1149.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2018,QLD,22061.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2018,SA,8797.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2018,TAS,1900.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2018,VIC,28456.0
93090do001_2019.xls,2019,Table 1,Articulated trucks,2018,WA,15368.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2019,ACT,184.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2019,AUS,103038.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2019,NSW,23084.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2019,NT,1163.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2019,QLD,22633.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2019,SA,8892.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2019,TAS,2057.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2019,VIC,29192.0
93090do001_2020.xls,2020,Table 1,Articulated trucks,2019,WA,15833.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2020,ACT,192.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2020,AUS,105137.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2020,NSW,23475.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2020,NT,1171.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2020,QLD,23106.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2020,SA,8837.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2020,TAS,2140.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2020,VIC,30010.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2020,WA,16206.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2021,ACT,201.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2021,AUS,109927.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2021,NSW,25358.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2021,NT,1221.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2021,QLD,23541.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2021,SA,9021.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2021,TAS,2245.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2021,VIC,31254.0
93090do001_2021.xls,2021,Table 1,Articulated trucks,2021,WA,17086.0
93090DO001_31201501.xls,2015,Table 1,Buses,2010,ACT,1031.0
93090DO001_31201501.xls,2015,Table 1,Buses,2010,AUS,86367.0
93090DO001_31201501.xls,2015,Table 1,Buses,2010,NSW,22865.0
93090DO001_31201501.xls,2015,Table 1,Buses,2010,NT,3577.0
93090DO001_31201501.xls,2015,Table 1,Buses,2010,QLD,19403.0
93090DO001_31201501.xls,2015,Table 1,Buses,2010,SA,5118.0
93090DO001_31201501.xls,2015,Table 1,Buses,2010,TAS,2548.0
93090DO001_31201501.xls,2015,Table 1,Buses,2010,VIC,18407.0
93090DO001_31201501.xls,2015,Table 1,Buses,2010,WA,13418.0
93090do001_2016.xls,2016,Table 1,Buses,2011,ACT,1080.0
93090do001_2016.xls,2016,Table 1,Buses,2011,AUS,87883.0
93090do001_2016.xls,2016,Table 1,Buses,2011,NSW,23390.0
93090do001_2016.xls,2016,Table 1,Buses,2011,NT,3592.0
93090do001_2016.xls,2016,Table 1,Buses,2011,QLD,19542.0
93090do001_2016.xls,2016,Table 1,Buses,2011,SA,5271.0
93090do001_2016.xls,2016,Table 1,Buses,2011,TAS,2594.0
93090do001_2016.xls,2016,Table 1,Buses,2011,VIC,18817.0
93090do001_2016.xls,2016,Table 1,Buses,2011,WA,13597.0
93090do001_2017.xls,2017,Table 1,Buses,2012,ACT,1069.0
93090do001_2017.xls,2017,Table 1,Buses,2012,AUS,90599.0
93090do001_2017.xls,2017,Table 1,Buses,2012,NSW,23762.0
93090do001_2017.xls,2017,Table 1,Buses,2012,NT,3660.0
93090do001_2017.xls,2017,Table 1,Buses,2012,QLD,20220.0
93090do001_2017.xls,2017,Table 1,Buses,2012,SA,5462.0
93090do001_2017.xls,2017,Table 1,Buses,2012,TAS,2701.0
93090do001_2017.xls,2017,Table 1,Buses,2012,VIC,19354.0
93090do001_2017.xls,2017,Table 1,Buses,2012,WA,14371.0
93090do001_2018.xls,2018,Table 1,Buses,2013,ACT,1073.0
93090do001_2018.xls,2018,Table 1,Buses,2013,AUS,93034.0
93090do001_2018.xls,2018,Table 1,Buses,2013,NSW,24210.0
93090do001_2018.xls,2018,Table 1,Buses,2013,NT,3810.0
93090do001_2018.xls,2018,Table 1,Buses,2013,QLD,21026.0
93090do001_2018.xls,2018,Table 1,Buses,2013,SA,5529.0
93090do001_2018.xls,2018,Table 1,Buses,2013,TAS,2744.0
93090do001_2018.xls,2018,Table 1,Buses,2013,VIC,19509.0
93090do001_2018.xls,2018,Table 1,Buses,2013,WA,15133.0
93090do001_2019.xls,2019,Table 1,Buses,2014,ACT,1061.0
93090do001_2019.xls,2019,Table 1,Buses,2014,AUS,94131.0
93090do001_2019.xls,2019,Table 1,Buses,2014,NSW,24617.0
93090do001_2019.xls,2019,Table 1,Buses,2014,NT,3882.0
93090do001_2019.xls,2019,Table 1,Buses,2014,QLD,21337.0
93090do001_2019.xls,2019,Table 1,Buses,2014,SA,5622.0
93090do001_2019.xls,2019,Table 1,Buses,2014,TAS,2667.0
93090do001_2019.xls,2019,Table 1,Buses,2014,VIC,19623.0
93090do001_2019.xls,2019,Table 1,Buses,2014,WA,15322.0
93090do001_2020.xls,2020,Table 1,Buses,2015,ACT,1041.0
93090do001_2020.xls,2020,Table 1,Buses,2015,AUS,95149.0
93090do001_2020.xls,2020,Table 1,Buses,2015,NSW,25249.0
93090do001_2020.xls,2020,Table 1,Buses,2015,NT,3888.0
93090do001_2020.xls,2020,Table 1,Buses,2015,QLD,21432.0
93090do001_2020.xls,2020,Table 1,Buses,2015,SA,5554.0
93090do001_2020.xls,2020,Table 1,Buses,2015,TAS,2690.0
93090do001_2020.xls,2020,Table 1,Buses,2015,VIC,19832.0
93090do001_2020.xls,2020,Table 1,Buses,2015,WA,15463.0
93090do001_2021.xls,2021,Table 1,Buses,2016,ACT,1051.0
