source_workbook,sheet,topic,section,period_type,period,variable,variable_slug,measure,value,unit
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1974-75,Passenger cars,passenger_cars,passenger_activity,125.26668261886903,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1974-75,Buses,buses,passenger_activity,7.435218755549748,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1974-75,Rail,rail,passenger_activity,9.963114443256599,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1974-75,Air,air,passenger_activity,8.281665617124496,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1974-75,Other,other,passenger_activity,15.892833288467974,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1974-75,Total,total,passenger_activity,166.83951472326785,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1975-76,Passenger cars,passenger_cars,passenger_activity,130.1350655530138,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1975-76,Buses,buses,passenger_activity,7.421346620137292,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1975-76,Rail,rail,passenger_activity,8.89505767237122,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1975-76,Air,air,passenger_activity,8.294148543327394,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1975-76,Other,other,passenger_activity,16.5367444807849,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1975-76,Total,total,passenger_activity,171.2823628696346,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1976-77,Passenger cars,passenger_cars,passenger_activity,136.0,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1976-77,Buses,buses,passenger_activity,7.4982610543110155,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1976-77,Rail,rail,passenger_activity,8.595145625104339,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1976-77,Air,air,passenger_activity,7.989107641763245,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1976-77,Other,other,passenger_activity,18.1,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1976-77,Total,total,passenger_activity,178.1825143211786,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1977-78,Passenger cars,passenger_cars,passenger_activity,140.5,billion passenger-km
