source_workbook,sheet,geography,period_type,period,fuel_type,fuel_group,generation_gwh,is_estimate
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1989-90,black coal,non_renewable,87573.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1990-91,black coal,non_renewable,89511.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1991-92,black coal,non_renewable,94325.1,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1992-93,black coal,non_renewable,97872.7,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1993-94,black coal,non_renewable,100544.1,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1994-95,black coal,non_renewable,102522.1,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1995-96,black coal,non_renewable,106089.6,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1996-97,black coal,non_renewable,109452.2,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1997-98,black coal,non_renewable,116969.5,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1998-99,black coal,non_renewable,118586.3,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1999-00,black coal,non_renewable,123833.5,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2000-01,black coal,non_renewable,134264.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2001-02,black coal,non_renewable,116774.7,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2002-03,black coal,non_renewable,115296.6,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2003-04,black coal,non_renewable,121182.3,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2004-05,black coal,non_renewable,127788.5,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2005-06,black coal,non_renewable,130231.6,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2006-07,black coal,non_renewable,132368.5,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2007-08,black coal,non_renewable,129569.3,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2008-09,black coal,non_renewable,127270.5,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2009-10,black coal,non_renewable,123724.5,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2010-11,black coal,non_renewable,116948.8,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2011-12,black coal,non_renewable,116654.3,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2012-13,black coal,non_renewable,111491.1,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2013-14,black coal,non_renewable,106965.495,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2014-15,black coal,non_renewable,107639.4,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2015-16,black coal,non_renewable,114263.032,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2016-17,black coal,non_renewable,118235.959,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2017-18,black coal,non_renewable,121689.29,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2018-19,black coal,non_renewable,119809.515,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2019-20,black coal,non_renewable,111860.822,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2020-21,black coal,non_renewable,106251.414,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2021-22,black coal,non_renewable,101076.158,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2022-23,black coal,non_renewable,96173.858,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2023-24,black coal,non_renewable,96405.277,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2024-25,black coal,non_renewable,93308.53,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1989-90,brown coal,non_renewable,33594.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1990-91,brown coal,non_renewable,36048.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1991-92,brown coal,non_renewable,34559.0,false
