geography,period_type,period,is_estimate,total_generation_gwh,renewable_generation_gwh,non_renewable_generation_gwh,renewable_share_percent,non_renewable_share_percent
AUS,calendar_year,2015,false,253984.422,35914.187,218070.235,14.140310936077805,85.85968906392219
AUS,calendar_year,2016,false,258218.686,42033.446,216185.241,16.278235572773383,83.72176481449527
AUS,calendar_year,2017,false,258967.059,39437.778,219529.281,15.228878202613405,84.77112179738658
AUS,calendar_year,2018,false,262632.006,49710.546,212921.46,18.927832428771076,81.07216757122893
AUS,calendar_year,2019,false,265900.199,55621.795,210278.405,20.918297620378986,79.08170275570195
AUS,calendar_year,2020,false,265162.088,64668.439,200493.65,24.38826737553824,75.61173300158957
AUS,calendar_year,2021,false,266232.89,77194.4,189038.49,28.99506518522185,71.00493481477814
AUS,calendar_year,2022,false,273075.288,87816.918,185258.37,32.158500552419085,67.84149944758092
AUS,calendar_year,2023,false,273118.901,95592.085,177526.817,35.00017195807331,64.9998284080676
AUS,calendar_year,2024,false,282311.004,100927.361,181383.643,35.75041694088552,64.24958305911449
AUS,calendar_year,2025,true,286766.227,113288.966,173477.261,39.50568628152993,60.49431371847006
AUS,financial_year,1989-90,false,154708.0,15630.0,139078.0,10.10290353440029,89.89709646559972
AUS,financial_year,1990-91,false,156599.0,16872.0,139727.0,10.774015159739205,89.2259848402608
AUS,financial_year,1991-92,false,159328.0,16448.9,142879.1,10.323922976501306,89.6760770234987
AUS,financial_year,1992-93,false,163473.0,17636.3,145836.7,10.788509417457316,89.21149058254268
AUS,financial_year,1993-94,false,167292.0,17338.9,149953.1,10.364452573942568,89.63554742605744
AUS,financial_year,1994-95,false,172993.0,16987.9,156005.1,9.819992716468297,90.18000728353171
AUS,financial_year,1995-96,false,177456.0,16689.4,160766.6,9.404810206473718,90.59518979352629
AUS,financial_year,1996-97,false,182798.0,17851.8,164946.2,9.76586177091653,90.23413822908347
AUS,financial_year,1997-98,false,195161.0,16803.5,178357.5,8.610070659609246,91.38992934039075
AUS,financial_year,1998-99,false,203781.0,17761.7,186019.3,8.71607264661573,91.28392735338426
AUS,financial_year,1999-00,false,210018.0,17955.5,192062.5,8.549505280499767,91.45049471950023
AUS,financial_year,2000-01,false,223640.0,17838.0,205802.0,7.976211768914326,92.02378823108567
AUS,financial_year,2001-02,false,224870.0,17426.3,207443.7,7.749499710944101,92.2505002890559
AUS,financial_year,2002-03,false,222120.4,18835.0,203285.4,8.479635368926042,91.52036463107396
AUS,financial_year,2003-04,false,229784.4,18904.2,210880.2,8.226929243238445,91.77307075676157
AUS,financial_year,2004-05,false,228649.7,20405.5,208244.2,8.924350217822283,91.07564978217772
AUS,financial_year,2005-06,false,232829.4,21744.1,211085.3,9.339069722294521,90.66093027770548
AUS,financial_year,2006-07,false,243152.5,21186.3,221966.2,8.713173831237597,91.2868261687624
AUS,financial_year,2007-08,false,243217.1,19869.3,223347.8,8.169368025521232,91.83063197447876
AUS,financial_year,2008-09,false,243944.697,18644.497,225300.2,7.642919575333093,92.35708042466692
AUS,financial_year,2009-10,false,249290.509,21803.109,227487.4,8.746064616523368,91.25393538347663
AUS,financial_year,2010-11,false,250861.691,26524.291,224337.4,10.573272823868512,89.4267271761315
AUS,financial_year,2011-12,false,249651.975,26655.975,222996.0,10.677253805021971,89.32274619497804
AUS,financial_year,2012-13,false,247763.3,33199.4,214563.9,13.39964393435186,86.60035606564814
AUS,financial_year,2013-14,false,249036.579,36588.684,212447.895,14.69209228094962,85.30790771905038
AUS,financial_year,2014-15,false,252390.815,34035.653,218355.162,13.485297791046793,86.51470220895321
AUS,financial_year,2015-16,false,257428.582,38146.048,219282.534,14.818109047425047,85.18189095257497
AUS,financial_year,2016-17,false,258016.968,40454.576,217562.392,15.679037046896854,84.32096295310313
AUS,financial_year,2017-18,false,261056.102,44642.84,216413.262,17.100860565212912,82.89913943478707
AUS,financial_year,2018-19,false,264026.741,52023.636,212003.104,19.7039268836788,80.29607273757169
AUS,financial_year,2019-20,false,265178.199,59930.342,205247.857,22.60002603004329,77.39997396995669
AUS,financial_year,2020-21,false,265554.452,70798.19,194756.262,26.660517067889337,73.33948293211066
AUS,financial_year,2021-22,false,271531.588,83995.568,187536.02,30.93399505327535,69.06600494672465
AUS,financial_year,2022-23,false,273951.343,92588.725,181362.618,33.79750724565713,66.20249275434288
AUS,financial_year,2023-24,false,278812.083,96957.669,181854.414,34.77527514472894,65.22472485527106
AUS,financial_year,2024-25,false,282398.053,105923.846,176474.208,37.50870265383877,62.49129770027133
NSW,calendar_year,2015,false,66214.881,6466.497,59748.384,9.765927088202424,90.23407291179758
NSW,calendar_year,2016,false,67126.002,9164.311,57961.691,13.652401047212676,86.34759895278734
NSW,calendar_year,2017,false,69533.777,7860.412,61673.365,11.304451360379861,88.69554863962014
NSW,calendar_year,2018,false,70752.345,10896.592,59855.753,15.401032997563544,84.59896700243645
NSW,calendar_year,2019,false,72035.964,12229.658,59806.306,16.97715602167828,83.0228439783217
NSW,calendar_year,2020,false,69397.826,14669.593,54728.233,21.138404249147516,78.86159575085249
NSW,calendar_year,2021,false,69912.246,18587.275,51324.971,26.586579695923373,73.41342030407662
NSW,calendar_year,2022,false,73103.784,23130.531,49973.253,31.64067539923788,68.35932460076212
NSW,calendar_year,2023,false,71589.764,25403.759,46186.005,35.485183328722805,64.5148166712772
NSW,calendar_year,2024,false,76616.617,27952.989,48663.628,36.48423813857509,63.51576186142491
NSW,calendar_year,2025,true,77042.007,31367.443,45674.564,40.7147272266674,59.28527277333261
NSW,financial_year,2008-09,false,72369.377,2249.277,70120.1,3.108050798889702,96.89194920111032
NSW,financial_year,2009-10,false,73007.826,3922.326,69085.5,5.372473356486467,94.62752664351353
NSW,financial_year,2010-11,false,69680.869,4144.569,65536.3,5.947929552945156,94.05207044705483
NSW,financial_year,2011-12,false,69332.425,4624.525,64707.9,6.670075365170048,93.32992463482995
