source_workbook,sheet,geography,period_type,period,fuel_type,fuel_group,value,unit,is_estimate
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,black coal,non_renewable,43704.366,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,black coal,non_renewable,42077.602,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,black coal,non_renewable,7526.562,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,black coal,non_renewable,93308.53,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,brown coal,non_renewable,30417.178,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,brown coal,non_renewable,30417.178,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,natural gas,non_renewable,2398.029,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,natural gas,non_renewable,1807.147,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,natural gas,non_renewable,8849.734,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,natural gas,non_renewable,26636.204,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,SA,financial_year,2024-25,natural gas,non_renewable,3538.184,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,TAS,financial_year,2024-25,natural gas,non_renewable,361.895,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NT,financial_year,2024-25,natural gas,non_renewable,4360.312,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,natural gas,non_renewable,47951.503,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,oil products,non_renewable,576.636,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,oil products,non_renewable,267.656,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,oil products,non_renewable,1177.99,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,oil products,non_renewable,1978.661,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,SA,financial_year,2024-25,oil products,non_renewable,262.258,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,TAS,financial_year,2024-25,oil products,non_renewable,14.959,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NT,financial_year,2024-25,oil products,non_renewable,518.836,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,oil products,non_renewable,4796.996,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,total non-renewable,subtotal_non_renewable,46679.031,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,total non-renewable,subtotal_non_renewable,32491.981,GWh,false
