year,dependence,scenario_family,n_samples,weak_alignment_probability,favorable_alignment_probability,fossil_persistence_probability,emissions_pressure_probability,activity_pressure_probability,bev_fcev_share_nsw_p05,bev_fcev_share_nsw_p50,bev_fcev_share_nsw_p95,hybrid_share_nsw_p05,hybrid_share_nsw_p50,hybrid_share_nsw_p95,renewable_share_nsw_p05,renewable_share_nsw_p50,renewable_share_nsw_p95,fossil_share_nsw_p05,fossil_share_nsw_p50,fossil_share_nsw_p95,road_direct_emissions_national_p05,road_direct_emissions_national_p50,road_direct_emissions_national_p95,alignment_gap_p05,alignment_gap_p50,alignment_gap_p95
2026,independent,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.3630774391202993,1.436564884584159,1.5106676583310379,4.031776572427088,4.111883975138035,4.1942293590964566,42.439667768528764,43.424043799476124,44.405835446411146,93.44015824773668,93.62516825684159,93.80812342455796,87.20272436875109,87.83177695687152,88.47817391633347,40.999757876253305,41.98662480136233,42.96624131200724
2027,independent,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.504622645500911,1.651649975654557,1.798420311362828,4.36581382504045,4.528319716289229,4.690313719847887,45.38219642619693,46.76157396735512,48.166398971514134,92.05150513642803,92.30919624697968,92.56536327060657,88.08913661522168,88.98952830597572,89.89281548392269,43.72956000497057,45.11259869977323,46.51545795709617
2028,independent,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.6451920756797216,1.864596169842302,2.087657363530168,4.699793454801848,4.942304585284397,5.186997070463373,48.534664457314655,50.26455126333052,51.9457721280601,90.6515042885126,90.9688597728769,91.28867528345208,88.96957231125893,90.07827927945982,91.17345674818326,46.66887155345066,48.399942976269166,50.075752539597644
2029,independent,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.7863028932056952,2.0836518512349285,2.3759810024734023,5.032873290053394,5.354380935667296,5.68168782993612,51.78899994588114,53.77779928177607,55.727615945681066,89.24505929881894,89.61433619534614,89.98198809452575,89.83603483458347,91.12064707534275,92.3899866433341,49.69226321788262,51.6904196889475,53.66312957427103
2030,independent,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.9281598551814292,2.2962664865212385,2.6646574043540725,5.366079221090101,5.773209603790704,6.180962180940013,55.090475816799184,57.29082923975797,59.500046211250606,87.84626550036869,88.25378739290119,88.66055936955291,90.7152646521867,92.13821631086483,93.55328627616991,52.77977197431037,54.988700098729794,57.213462673980736
2026,independent,central,20000,0.24705,0.2479,0.64955,0.499,0.49645,1.355153377316647,1.5165396402904978,1.7210082489082872,4.022625431648194,4.2049519381874685,4.563800824857495,42.3246651530764,44.49103720575721,46.25774011347903,93.18072451082267,93.44211173602073,93.79196442980964,85.4916603829237,87.12856763950938,88.55052784498788,40.770489430965014,42.95038553103855,44.77539243509215
2027,independent,central,20000,0.25135,0.249,0.6505,0.4985,0.50775,1.4881073168790562,1.8156512443751864,2.2198170600623364,4.347565796455187,4.710206957798691,5.429916582873788,45.22651573876958,48.33111772254165,50.78872368960101,91.68053781031841,92.05309114828354,92.55241251676384,85.66601660173147,87.97722990454162,89.9919084520844,43.32015200256144,46.45809560069867,49.0467379973492
2028,independent,central,20000,0.24915,0.25175,0.65185,0.50045,0.5043,1.6210612564414653,2.1132073560809066,2.718625871216385,4.672506161262179,5.19911122530653,6.296032340890081,48.3394819650878,52.14495394100618,55.15176762648211,90.20105113760465,90.65555580381988,91.26149357067379,85.998497184764,88.84248096084517,91.29661104267842,46.03893701492863,49.9803851681329,53.176275925157505
2029,independent,central,20000,0.2523,0.25405,0.6462,0.5013,0.501,1.7540151960038743,2.4224066289643735,3.2174346823704347,4.997446526069171,5.704189548883615,7.162148098906374,51.56172968843159,55.93325054972133,59.42787960923685,88.72661419192298,89.2489933580143,89.94766945686068,86.41282896170874,89.70434480493995,92.5305638858371,48.89452933757391,53.41696157528485,57.221626193667966
2030,independent,central,20000,0.25525,0.2476,0.65095,0.49745,0.49965,1.8869691355662837,2.7134231669774174,3.716243493524484,5.322386890876164,6.227947962196819,8.028263856922667,54.8538143106242,59.72896739381686,63.64843728268678,87.2609694407642,87.84709522826473,88.63238580833819,86.87946816219255,90.52584785418007,93.71930374153033,51.77129696442698,56.8916874772095,61.214987386535405
2026,independent,optimistic,20000,0.0,1.0,0.0,0.0,0.0,1.5283799907422748,1.6189015258756407,1.7109589595664574,4.221840568200113,4.383710043982779,4.546318592528105,44.60060210728927,45.38856346041875,46.16513885711027,93.17926138994085,93.25358048316878,93.32885777544708,85.57705420571607,86.3129579144159,87.05039619260889,42.98287563667427,43.76871295946739,44.545513097835745
2027,independent,optimistic,20000,0.0,1.0,0.0,0.0,0.0,1.836428348409421,2.016981322149535,2.1980530756098,4.745410902627166,5.070131453851246,5.393470215241755,48.45166939099999,49.56585837241512,50.671127747670205,91.68036029570416,91.78567523314703,91.89123967546787,85.78444416873018,86.81830328689065,87.86910423366488,46.42041294934029,47.545153495822746,48.65958322657511
2028,independent,optimistic,20000,0.0,1.0,0.0,0.0,0.0,2.1411675775734813,2.414047404976486,2.688383718570734,5.269081530093576,5.757972848351781,6.239111562325277,52.28459181595138,53.625543999924595,55.00376623561733,90.19824189673085,90.3268967452032,90.4573987163363,86.14149436172596,87.41720704096142,88.69651182182177,49.842528655791234,51.21397147453233,52.62175537447172
2029,independent,optimistic,20000,0.0,1.0,0.0,0.0,0.0,2.4483343597504503,2.8074098321199425,3.1749595244795175,5.789413533643694,6.444643885912489,7.0926271332126305,56.119911936940746,57.706466882751116,59.26452815036362,88.72131603675189,88.8729938810932,89.02365294240536,86.58203427578144,88.05847609619875,89.52489551779342,53.26719427496336,54.887802551984635,56.51254073619751
2030,independent,optimistic,20000,0.0,1.0,0.0,0.0,0.0,2.7568325975582026,3.2097205521419836,3.6641390443095587,6.312355279340993,7.132048624746261,7.936703626093446,59.94402081209791,61.683189130285825,63.454670699009725,87.25681448533729,87.42561857057831,87.59097504724524,87.06886379139628,88.72961862033142,90.37150647282404,56.645422717290906,58.46677216774056,60.302427179005136
2026,independent,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.355153377316647,1.3796402267202281,1.4316081964639529,4.022625431648194,4.049364776488284,4.10653507144791,42.3246651530764,42.65653913456002,43.3457783530031,93.68305838847736,93.79822335776117,93.89150476715307,87.89275861956177,88.33838852062482,88.55052784498788,40.90763567563303,41.26997234149884,41.96078626759204
2027,independent,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.4881073168790562,1.537157157906061,1.6402561804042173,4.347565796455187,4.401785105136131,4.515915451936885,45.22651573876958,45.69535602463912,46.66048002520583,92.39121280645733,92.55453855768093,92.68698283828445,89.06167034854843,89.69565759656624,89.9919084520844,43.61424434998483,44.148827789631284,45.11151099270228
2028,independent,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.6210612564414653,1.6923088824397445,1.8481358581219032,4.672506161262179,4.754317700046196,4.924469576551684,48.3394819650878,48.92996878690087,50.107925385435315,91.06826620857687,91.26927728473618,91.43091328845458,90.1506609141601,90.92279608116684,91.29661104267842,46.53315518460675,47.21913399886303,48.39870550321177
2029,independent,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.7540151960038743,1.8529503125222337,2.057604141108474,4.997446526069171,5.103584485489981,5.3342490193933365,51.56172968843159,52.22147664471062,53.59340565663008,89.7293664320235,89.95970887504845,90.14816072655573,91.21176273706278,92.09642009232161,92.5305638858371,49.555070793869504,50.35508192471515,51.7338248101487
2030,independent,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.8869691355662837,2.0107426561411788,2.266243080835551,5.322386890876164,5.456991309281143,5.741544425473585,54.8538143106242,55.595925810818926,57.135098784402246,88.38314777243204,88.63723628619066,88.84835624950597,92.25221058662892,93.25493565553836,93.71930374153033,52.65112076955301,53.55538904928607,55.10711103956897
2026,gaussian,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.364000812014096,1.4368488690918295,1.5107011537835628,4.031536595695503,4.11329412852996,4.194092187012619,42.43525553901375,43.42448757219428,44.40787647416519,93.4858142258699,93.62314276658913,93.76471030733659,87.20296178091776,87.83935016578297,88.47967935885454,41.01708262650529,41.98796081804874,42.95447857508959
2027,gaussian,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.5043822206586608,1.6534031889991274,1.7985495245703116,4.365322556132135,4.526980832145042,4.690352610009459,45.373230890360105,46.774185843555145,48.16831598940096,92.10979683279712,92.30827949136939,92.50774434724116,88.08722426772312,89.00060362860215,89.89515863504366,43.76531026332624,45.1262373020637,46.47744173603246
2028,gaussian,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.6460221628489629,1.8682219871180963,2.087333025226017,4.700466811295866,4.94009574529059,5.1863106941878785,48.52259877180067,50.24193379519005,51.949264455684904,90.72322369379273,90.96743175346484,91.21158875303696,88.96022104356429,90.06532279744387,91.17597262050482,46.71130419957518,48.37210136496242,50.01960809062291
2029,gaussian,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.7878216860567586,2.0840911881565054,2.3749255670247433,5.033085558252428,5.36027853327753,5.684889533339563,51.78497251924707,53.771536541765826,55.72707969665877,89.33105933721981,89.61215024257194,89.89667207580294,89.8378372194643,91.10945481593494,92.3971327876064,49.78185521796358,51.68781908726375,53.56870112260064
