source_family,jurisdiction,year,petrol_vehicles,diesel_vehicles,transition_or_other_vehicles,total_vehicles,petrol_share_percent,diesel_share_percent,transition_or_other_share_percent,definition_note
ABS,AUS,2010,13328901.0,2220662.0,511535.0,16061098.0,82.98872841694883,13.826339892826756,3.184931690224417,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2011,13444544.0,2410277.0,513562.0,16368383.0,82.13727647990642,14.725199184305499,3.137524335788086,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2012,13576495.0,2654505.0,510644.0,16741644.0,81.09415658342753,15.855700909659767,3.050142506912702,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2013,13727249.0,2952327.0,501020.0,17180596.0,79.89972524818114,17.1840778981125,2.9161968537063556,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2014,13889533.0,3264541.0,479419.0,17633493.0,78.76790491821446,18.51329739377218,2.7187976880133733,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2015,14000720.0,3555227.0,451820.0,18007767.0,77.74822941678443,19.742742117887243,2.509028465328322,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2016,14115057.0,3848444.0,423635.0,18387136.0,76.76593570635471,20.930089384230367,2.30397490941493,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2017,14222419.0,4161995.0,396719.0,18781133.0,75.72716193426669,22.160510763647753,2.1123273020855557,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2018,14312619.0,4491140.0,369520.0,19173279.0,74.6487807328105,23.42395372226107,1.927265544928439,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2019,14353215.0,4794739.0,357287.0,19505241.0,73.5864529948643,24.58179829718587,1.8317487079498274,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2020,14389145.0,5061680.0,354506.0,19805331.0,72.65288825518745,25.55715933250497,1.7899524123075752,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,AUS,2021,14443908.0,5321847.0,377187.0,20142942.0,71.7070425958631,26.4204057182908,1.8725516858460893,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2010,4000735.0,560677.0,120059.0,4681471.0,85.45892946896392,11.976513365136727,2.564557165899351,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2011,4042083.0,612969.0,123369.0,4778421.0,84.59034898766768,12.827856733427215,2.5817942789051025,"ABS other includes LPG, dual fuel and electric; not EV-specific."
