jurisdiction,year,bev_fcev_vehicles,hybrid_vehicles,dual_fuel_vehicles,low_emission_vehicles_bev_hybrid,total_vehicles,bev_fcev_share_percent,hybrid_share_percent,low_emission_share_percent,bev_fcev_vehicles_yoy_percent,hybrid_vehicles_yoy_percent,low_emission_vehicles_bev_hybrid_yoy_percent
AUS,2021,19241.0,204814.0,145716.0,224055.0,20257739.0,0.09498098479795795,1.0110407681725981,1.106021752970556,,,
AUS,2022,38754.0,276985.0,131555.0,315739.0,20676596.0,0.1874293041272364,1.3396063839521748,1.5270356880794111,101.4136479392963,35.237337291396095,40.92030974537502
AUS,2023,78877.0,367435.0,117552.0,446312.0,21161184.0,0.37274379354198706,1.7363631448977523,2.10910693843974,103.53253857666304,32.65519793490622,41.35472653045712
AUS,2024,168006.0,485869.0,105744.0,653875.0,21740045.0,0.7727950885106263,2.234903377614904,3.00769846612553,112.9974517286408,32.23263978662892,46.5062557134919
AUS,2025,259692.0,709132.0,96183.0,968824.0,22305347.0,1.1642589554872202,3.1792018299468734,4.343460785434093,54.57305096246563,45.951274932131916,48.16654559357676
NSW,2021,6160.0,72370.0,18607.0,78530.0,5954397.0,0.10345296089595638,1.2154043474091498,1.3188573083051063,,,
NSW,2022,11962.0,96324.0,16495.0,108286.0,6048288.0,0.1977749736785021,1.592582892878117,1.7903578665566189,94.18831168831169,33.09935055962415,37.89125175092322
NSW,2023,24789.0,125856.0,14719.0,150645.0,6155747.0,0.4026968619730473,2.044528470712003,2.44722533268505,107.23123223541214,30.659025787965614,39.11770681343849
NSW,2024,52505.0,163948.0,12723.0,216453.0,6296646.0,0.8338566277983548,2.6037353854734726,3.4375920132718276,111.80765662188874,30.26633613018052,43.68415812008364
NSW,2025,78317.0,236943.0,10904.0,315260.0,6407874.0,1.222199437754238,3.697685066841202,4.91988450459544,49.16103228263975,44.52326347378437,45.64824696354405
