period,mode,mode_slug,value,unit
1976-77,Passenger cars,passenger_cars,24.134343563413484,billion passenger-km
1976-77,Commercial vehicles,commercial_vehicles,2.015035707828529,billion passenger-km
1976-77,Heavy rail,heavy_rail,3.3756505737684597,billion passenger-km
1976-77,Light rail,light_rail,0.0,billion passenger-km
1976-77,Bus,bus,1.530233487976393,billion passenger-km
1976-77,Total,total,31.395487003890796,billion passenger-km
1977-78,Passenger cars,passenger_cars,24.798296655671756,billion passenger-km
1977-78,Commercial vehicles,commercial_vehicles,2.1019663416333056,billion passenger-km
1977-78,Heavy rail,heavy_rail,3.3706688853763445,billion passenger-km
1977-78,Light rail,light_rail,0.0,billion passenger-km
1977-78,Bus,bus,1.5650518194998833,billion passenger-km
1977-78,Total,total,32.18678003859182,billion passenger-km
1978-79,Passenger cars,passenger_cars,25.586621202475158,billion passenger-km
1978-79,Commercial vehicles,commercial_vehicles,2.151812330401308,billion passenger-km
1978-79,Heavy rail,heavy_rail,3.397015000077285,billion passenger-km
1978-79,Light rail,light_rail,0.0,billion passenger-km
1978-79,Bus,bus,1.5447185045589586,billion passenger-km
1978-79,Total,total,33.04170756586995,billion passenger-km
1979-80,Passenger cars,passenger_cars,25.794722036968718,billion passenger-km
1979-80,Commercial vehicles,commercial_vehicles,2.134754269788706,billion passenger-km
1979-80,Heavy rail,heavy_rail,3.5869317978921913,billion passenger-km
1979-80,Light rail,light_rail,0.0,billion passenger-km
1979-80,Bus,bus,1.5818760127869194,billion passenger-km
1979-80,Total,total,33.492405493182645,billion passenger-km
1980-81,Passenger cars,passenger_cars,26.154420243180667,billion passenger-km
1980-81,Commercial vehicles,commercial_vehicles,2.176922722636476,billion passenger-km
1980-81,Heavy rail,heavy_rail,3.67396085,billion passenger-km
1980-81,Light rail,light_rail,0.0,billion passenger-km
1980-81,Bus,bus,1.6187535567642353,billion passenger-km
1980-81,Total,total,34.03860612172856,billion passenger-km
1981-82,Passenger cars,passenger_cars,27.165513316927953,billion passenger-km
