year,dependence,scenario_family,low_uptake_shortfall,renewable_shortfall,fossil_excess,emissions_excess,activity_excess
2026,independent,conservative,0.1908451687928495,0.2782938619704537,0.3622539662768407,0.23027902265729722,0.28726177878528786
2027,independent,conservative,0.19030590506541187,0.28006697640240025,0.3619237434689709,0.23139846141302278,0.28649840120847964
2028,independent,conservative,0.19043241492503335,0.27645582788555456,0.3627595363559093,0.23320258200349872,0.2878556905426902
2029,independent,conservative,0.19051925311187534,0.2772010042619875,0.36297255442907816,0.23252323674174896,0.28919659229069156
2030,independent,conservative,0.18972503810974045,0.27938803491332836,0.3631835827994381,0.23163678334629967,0.2876840752855466
2026,independent,central,0.06975025498302073,0.16825297959645263,0.18152547898387594,0.13934546361205094,0.17294785673383736
2027,independent,central,0.06889145141959332,0.1662070862200441,0.18377307021456812,0.13858576992428934,0.1737286745568126
2028,independent,central,0.07032996054443258,0.16604465237537275,0.18358048057255388,0.13902031949795177,0.17347362235248912
2029,independent,central,0.0692128951136313,0.16628221659856054,0.18194887326027998,0.1392612250527975,0.1716049287261157
2030,independent,central,0.0686166092436662,0.16743666230233534,0.18418838926324405,0.13809357755168106,0.1738840931118372
2026,independent,optimistic,0.0,0.0,0.0,0.0,0.0
2027,independent,optimistic,0.0,0.0,0.0,0.0,0.0
2028,independent,optimistic,0.0,0.0,0.0,0.0,0.0
2029,independent,optimistic,0.0,0.0,0.0,0.0,0.0
2030,independent,optimistic,0.0,0.0,0.0,0.0,0.0
2026,independent,stress_tail,0.3118923612434486,0.45724848813813335,0.5943854951177281,0.3811267900575018,0.47266741362285347
2027,independent,stress_tail,0.31152718423754355,0.45711652277156833,0.5939385422650213,0.3813890522771654,0.4733088802228215
2028,independent,stress_tail,0.3122538860105907,0.45587103998537826,0.5946055740203309,0.38018697591901834,0.47400057708713156
2029,independent,stress_tail,0.3118334829248886,0.45711339679356877,0.5942258811455279,0.38033963148620553,0.4730044164560217
2030,independent,stress_tail,0.3116693830351036,0.45716516320630635,0.593694908670637,0.38174499118627336,0.47367766119685023
2026,gaussian,conservative,0.18958535991955094,0.2775397834781761,0.36164484998428315,0.23145969013543627,0.2872365581526626
2027,gaussian,conservative,0.18956962637139158,0.27874172085841237,0.3615025881394999,0.23341671604126427,0.2894810430411324
2028,gaussian,conservative,0.1896949194792225,0.27854799421484966,0.3619574626436991,0.23123757949186852,0.2879876305457903
2029,gaussian,conservative,0.1893754943779084,0.2767246006561175,0.3611943295445288,0.23198000619443165,0.2877354494511859
2030,gaussian,conservative,0.19030442399628594,0.2782453247768195,0.3613767682472494,0.23184286777430246,0.2886590696361483
2026,gaussian,central,0.08372266565840097,0.16648694107656287,0.16699412748306394,0.1399164220605408,0.17273119680327828
2027,gaussian,central,0.08504380561146978,0.16721210761690636,0.16663283157795772,0.13969225076610528,0.17317033746750254
2028,gaussian,central,0.08474628768695582,0.16663165777745126,0.16545958942775238,0.139030329789781,0.1739990293181254
2029,gaussian,central,0.08681648120634967,0.1706629974439748,0.1678105529713674,0.1394830778220989,0.17310252591148592
2030,gaussian,central,0.08487425115316509,0.16678436470330765,0.16677867698024593,0.13865822775079048,0.17423800120305497
2026,gaussian,optimistic,0.0,0.0,0.0,0.0,0.0
2027,gaussian,optimistic,0.0,0.0,0.0,0.0,0.0
2028,gaussian,optimistic,0.0,0.0,0.0,0.0,0.0
2029,gaussian,optimistic,0.0,0.0,0.0,0.0,0.0
2030,gaussian,optimistic,0.0,0.0,0.0,0.0,0.0
2026,gaussian,stress_tail,0.31189680656258,0.45713364750158514,0.5942842860493318,0.3806185289692103,0.47198444787751914
2027,gaussian,stress_tail,0.3119249603072329,0.45783509280535445,0.5938639522555949,0.38045625437867087,0.47329425339472764
2028,gaussian,stress_tail,0.3119689765203032,0.4577600006541543,0.5942316867335796,0.38191108640588595,0.47279706496126384
2029,gaussian,stress_tail,0.31194672693995934,0.4590352892478966,0.5941278380351618,0.38012428055091624,0.4730908800511626
2030,gaussian,stress_tail,0.31225445903717675,0.4578276989514912,0.5946423440546869,0.3810674187195694,0.473164720910742
