year,dependence,scenario_family,n_samples,mean_loss,p50_loss,p90_loss,cvar90_loss,weak_alignment_probability,fossil_persistence_probability,emissions_pressure_probability,activity_pressure_probability
2026,independent,conservative,20000,0.22714588871949432,0.22717428435731518,0.2950140973307241,0.31706305030666804,0.0,1.0,1.0,1.0
2027,independent,conservative,20000,0.22738550857068912,0.22725694500908894,0.29514956105824935,0.3173077346566646,0.0,1.0,1.0,1.0
2028,independent,conservative,20000,0.22753284989399047,0.22799522705484876,0.2957363274042228,0.3183017906849936,0.0,1.0,1.0,1.0
2029,independent,conservative,20000,0.22770281872490777,0.2275134210405719,0.2957008552967888,0.31860286878517835,0.0,1.0,1.0,1.0
2030,independent,conservative,20000,0.2275856936166496,0.22700156274196603,0.2959545261294066,0.3186863651239345,0.0,1.0,1.0,1.0
2026,independent,central,20000,0.15771447212864115,0.14272158675408506,0.30070041941424525,0.3478233486818648,0.24705,0.64955,0.499,0.49645
2027,independent,central,20000,0.15825648870037803,0.14280894022601684,0.30250604833145806,0.35223365820724417,0.25135,0.6505,0.4985,0.50775
2028,independent,central,20000,0.1582127122145425,0.14159865124104543,0.3039564172594872,0.351425102847174,0.24915,0.65185,0.50045,0.5043
2029,independent,central,20000,0.1580324240477374,0.14170053267721336,0.30284283561968106,0.35076739869592477,0.2523,0.6462,0.5013,0.501
2030,independent,central,20000,0.1589711238682523,0.1437842126132446,0.3054903943545416,0.3528153046857138,0.25525,0.65095,0.49745,0.49965
2026,independent,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,independent,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,independent,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,independent,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,independent,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,independent,stress_tail,20000,0.373334943866741,0.37416673343269546,0.4115543437190763,0.42335931286027473,0.0,1.0,1.0,1.0
2027,independent,stress_tail,20000,0.37326932219396347,0.3742413175510684,0.4116976377049713,0.4227773358257983,0.0,1.0,1.0,1.0
2028,independent,stress_tail,20000,0.3731900008965079,0.3740818104764496,0.41139845974156725,0.4230269620990299,0.0,1.0,1.0,1.0
2029,independent,stress_tail,20000,0.3731472502759619,0.3738747804097835,0.41172867511314726,0.4232356547178646,0.0,1.0,1.0,1.0
2030,independent,stress_tail,20000,0.37336439717903375,0.37438386504687127,0.41174802633873725,0.42307508140615174,0.0,1.0,1.0,1.0
