dependence,weight_scheme,threshold_mode,cvar_level,top_mean_loss_scenario,top_cvar_loss_scenario
gaussian,baseline,baseline,0.9,stress_tail,stress_tail
gaussian,baseline,baseline,0.95,stress_tail,stress_tail
gaussian,baseline,lenient,0.9,stress_tail,stress_tail
gaussian,baseline,lenient,0.95,stress_tail,stress_tail
gaussian,baseline,strict,0.9,stress_tail,stress_tail
gaussian,baseline,strict,0.95,stress_tail,stress_tail
gaussian,equal,baseline,0.9,stress_tail,stress_tail
gaussian,equal,baseline,0.95,stress_tail,stress_tail
gaussian,equal,lenient,0.9,stress_tail,stress_tail
gaussian,equal,lenient,0.95,stress_tail,stress_tail
gaussian,equal,strict,0.9,stress_tail,stress_tail
gaussian,equal,strict,0.95,stress_tail,stress_tail
gaussian,fossil_heavy,baseline,0.9,stress_tail,stress_tail
gaussian,fossil_heavy,baseline,0.95,stress_tail,stress_tail
gaussian,fossil_heavy,lenient,0.9,stress_tail,stress_tail
gaussian,fossil_heavy,lenient,0.95,stress_tail,stress_tail
gaussian,fossil_heavy,strict,0.9,stress_tail,stress_tail
gaussian,fossil_heavy,strict,0.95,stress_tail,stress_tail
gaussian,grid_emissions_heavy,baseline,0.9,stress_tail,stress_tail
gaussian,grid_emissions_heavy,baseline,0.95,stress_tail,stress_tail
gaussian,grid_emissions_heavy,lenient,0.9,stress_tail,stress_tail
gaussian,grid_emissions_heavy,lenient,0.95,stress_tail,stress_tail
gaussian,grid_emissions_heavy,strict,0.9,stress_tail,stress_tail
gaussian,grid_emissions_heavy,strict,0.95,stress_tail,stress_tail
gaussian,uptake_heavy,baseline,0.9,stress_tail,stress_tail
gaussian,uptake_heavy,baseline,0.95,stress_tail,stress_tail
gaussian,uptake_heavy,lenient,0.9,stress_tail,stress_tail
gaussian,uptake_heavy,lenient,0.95,stress_tail,stress_tail
gaussian,uptake_heavy,strict,0.9,stress_tail,stress_tail
gaussian,uptake_heavy,strict,0.95,stress_tail,stress_tail
independent,baseline,baseline,0.9,stress_tail,stress_tail
independent,baseline,baseline,0.95,stress_tail,stress_tail
independent,baseline,lenient,0.9,stress_tail,stress_tail
independent,baseline,lenient,0.95,stress_tail,conservative
independent,baseline,strict,0.9,stress_tail,stress_tail
independent,baseline,strict,0.95,stress_tail,stress_tail
independent,equal,baseline,0.9,stress_tail,stress_tail
independent,equal,baseline,0.95,stress_tail,stress_tail
independent,equal,lenient,0.9,stress_tail,conservative
independent,equal,lenient,0.95,stress_tail,conservative
independent,equal,strict,0.9,stress_tail,stress_tail
independent,equal,strict,0.95,stress_tail,stress_tail
independent,fossil_heavy,baseline,0.9,stress_tail,stress_tail
independent,fossil_heavy,baseline,0.95,stress_tail,stress_tail
independent,fossil_heavy,lenient,0.9,stress_tail,stress_tail
independent,fossil_heavy,lenient,0.95,stress_tail,stress_tail
independent,fossil_heavy,strict,0.9,stress_tail,stress_tail
independent,fossil_heavy,strict,0.95,stress_tail,stress_tail
independent,grid_emissions_heavy,baseline,0.9,stress_tail,stress_tail
independent,grid_emissions_heavy,baseline,0.95,stress_tail,stress_tail
independent,grid_emissions_heavy,lenient,0.9,stress_tail,stress_tail
independent,grid_emissions_heavy,lenient,0.95,stress_tail,stress_tail
independent,grid_emissions_heavy,strict,0.9,stress_tail,stress_tail
independent,grid_emissions_heavy,strict,0.95,stress_tail,stress_tail
independent,uptake_heavy,baseline,0.9,stress_tail,stress_tail
independent,uptake_heavy,baseline,0.95,stress_tail,stress_tail
independent,uptake_heavy,lenient,0.9,stress_tail,stress_tail
independent,uptake_heavy,lenient,0.95,stress_tail,stress_tail
independent,uptake_heavy,strict,0.9,stress_tail,stress_tail
independent,uptake_heavy,strict,0.95,stress_tail,stress_tail
student_t,baseline,baseline,0.9,stress_tail,stress_tail
student_t,baseline,baseline,0.95,stress_tail,stress_tail
student_t,baseline,lenient,0.9,stress_tail,stress_tail
student_t,baseline,lenient,0.95,stress_tail,stress_tail
student_t,baseline,strict,0.9,stress_tail,stress_tail
student_t,baseline,strict,0.95,stress_tail,stress_tail
student_t,equal,baseline,0.9,stress_tail,stress_tail
student_t,equal,baseline,0.95,stress_tail,stress_tail
student_t,equal,lenient,0.9,stress_tail,stress_tail
student_t,equal,lenient,0.95,stress_tail,conservative
student_t,equal,strict,0.9,stress_tail,stress_tail
student_t,equal,strict,0.95,stress_tail,stress_tail
student_t,fossil_heavy,baseline,0.9,stress_tail,stress_tail
student_t,fossil_heavy,baseline,0.95,stress_tail,stress_tail
student_t,fossil_heavy,lenient,0.9,stress_tail,stress_tail
student_t,fossil_heavy,lenient,0.95,stress_tail,stress_tail
student_t,fossil_heavy,strict,0.9,stress_tail,stress_tail
student_t,fossil_heavy,strict,0.95,stress_tail,stress_tail
student_t,grid_emissions_heavy,baseline,0.9,stress_tail,stress_tail
student_t,grid_emissions_heavy,baseline,0.95,stress_tail,stress_tail
student_t,grid_emissions_heavy,lenient,0.9,stress_tail,stress_tail
student_t,grid_emissions_heavy,lenient,0.95,stress_tail,stress_tail
student_t,grid_emissions_heavy,strict,0.9,stress_tail,stress_tail
student_t,grid_emissions_heavy,strict,0.95,stress_tail,stress_tail
student_t,uptake_heavy,baseline,0.9,stress_tail,stress_tail
student_t,uptake_heavy,baseline,0.95,stress_tail,stress_tail
student_t,uptake_heavy,lenient,0.9,stress_tail,stress_tail
student_t,uptake_heavy,lenient,0.95,stress_tail,stress_tail
student_t,uptake_heavy,strict,0.9,stress_tail,stress_tail
student_t,uptake_heavy,strict,0.95,stress_tail,stress_tail
