source_workbook,release_year,table,vehicle_type,manufacture_period,jurisdiction,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2019 - 2024,NSW,1204594.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2019 - 2024,VIC,978825.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2019 - 2024,QLD,792086.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2019 - 2024,SA,245859.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2019 - 2024,WA,394653.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2019 - 2024,TAS,69271.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2019 - 2024,NT,27308.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2019 - 2024,ACT,71383.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2019 - 2024,AUS,3783979.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2014 - 2018,NSW,1333669.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2014 - 2018,VIC,1172076.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2014 - 2018,QLD,855839.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2014 - 2018,SA,291463.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2014 - 2018,WA,439068.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2014 - 2018,TAS,81285.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2014 - 2018,NT,26880.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2014 - 2018,ACT,82566.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2014 - 2018,AUS,4282846.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2009 - 2013,NSW,1002775.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2009 - 2013,VIC,942289.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2009 - 2013,QLD,713666.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2009 - 2013,SA,261902.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2009 - 2013,WA,424452.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2009 - 2013,TAS,76238.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2009 - 2013,NT,21984.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2009 - 2013,ACT,64223.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2009 - 2013,AUS,3507529.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2004 - 2008,NSW,658426.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2004 - 2008,VIC,628440.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2004 - 2008,QLD,496208.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2004 - 2008,SA,204068.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2004 - 2008,WA,305929.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Passenger vehicles,2004 - 2008,TAS,66728.0
