source_workbook,release_year,table,jurisdiction,year,motive_power,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2022,petrol,4350198.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2022,diesel,1561362.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2022,dual_fuel,16495.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2022,hybrid_electric,96324.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2022,battery_fuel_cell_electric,11962.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2022,other_or_not_specified,11947.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2022,total,6048288.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2023,petrol,4342258.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2023,diesel,1636471.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2023,dual_fuel,14795.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2023,hybrid_electric,125605.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2023,battery_fuel_cell_electric,24868.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2023,other_or_not_specified,10786.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2023,total,6154783.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2024,petrol,4345746.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2024,diesel,1711147.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2024,dual_fuel,12857.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2024,hybrid_electric,163801.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2024,battery_fuel_cell_electric,52572.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2024,other_or_not_specified,9574.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NSW,2024,total,6295697.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2022,petrol,3759621.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2022,diesel,1326730.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2022,dual_fuel,71158.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2022,hybrid_electric,63945.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2022,battery_fuel_cell_electric,9856.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2022,other_or_not_specified,36824.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2022,total,5268134.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2023,petrol,3785212.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2023,diesel,1394553.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2023,dual_fuel,65246.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2023,hybrid_electric,84140.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2023,battery_fuel_cell_electric,20228.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2023,other_or_not_specified,34798.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2023,total,5384177.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2024,petrol,3807124.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2024,diesel,1457447.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2024,dual_fuel,60957.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2024,hybrid_electric,113783.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2024,battery_fuel_cell_electric,42745.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2024,other_or_not_specified,32664.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,VIC,2024,total,5514720.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2022,petrol,2978063.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2022,diesel,1399041.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2022,dual_fuel,18140.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2022,hybrid_electric,54296.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2022,battery_fuel_cell_electric,8201.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2022,other_or_not_specified,4286.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2022,total,4462027.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2023,petrol,3007636.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2023,diesel,1479436.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2023,dual_fuel,16421.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2023,hybrid_electric,72752.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2023,battery_fuel_cell_electric,16737.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2023,other_or_not_specified,3965.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2023,total,4596947.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2024,petrol,3036988.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2024,diesel,1564408.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2024,dual_fuel,14802.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2024,hybrid_electric,96412.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2024,battery_fuel_cell_electric,36313.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2024,other_or_not_specified,3646.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,QLD,2024,total,4752569.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2022,petrol,1107020.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2022,diesel,380540.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2022,dual_fuel,4795.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2022,hybrid_electric,20667.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2022,battery_fuel_cell_electric,1933.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2022,other_or_not_specified,4812.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2022,total,1519767.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2023,petrol,1112977.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2023,diesel,402051.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2023,dual_fuel,4567.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2023,hybrid_electric,26975.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2023,battery_fuel_cell_electric,3875.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2023,other_or_not_specified,4512.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2023,total,1554957.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2024,petrol,1119744.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2024,diesel,426241.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2024,dual_fuel,4307.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2024,hybrid_electric,34704.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2024,battery_fuel_cell_electric,8430.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2024,other_or_not_specified,4229.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,SA,2024,total,1597655.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2022,petrol,1583862.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2022,diesel,729018.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2022,dual_fuel,19495.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2022,hybrid_electric,27579.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2022,battery_fuel_cell_electric,4191.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2022,other_or_not_specified,5085.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2022,total,2369230.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2023,petrol,1595101.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2023,diesel,775136.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2023,dual_fuel,17613.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2023,hybrid_electric,36343.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2023,battery_fuel_cell_electric,8330.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2023,other_or_not_specified,4720.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2023,total,2437243.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2024,petrol,1618740.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2024,diesel,822722.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2024,dual_fuel,15952.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2024,hybrid_electric,49650.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2024,battery_fuel_cell_electric,17269.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2024,other_or_not_specified,4322.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,WA,2024,total,2528655.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2022,petrol,355140.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2022,diesel,157518.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2022,dual_fuel,181.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2022,hybrid_electric,4460.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2022,battery_fuel_cell_electric,862.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2022,other_or_not_specified,2272.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2022,total,520433.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2023,petrol,356591.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2023,diesel,165779.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2023,dual_fuel,187.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2023,hybrid_electric,5884.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2023,battery_fuel_cell_electric,1620.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2023,other_or_not_specified,2096.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2023,total,532157.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2024,petrol,355326.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2024,diesel,172868.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2024,dual_fuel,179.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2024,hybrid_electric,7557.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2024,battery_fuel_cell_electric,3288.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2024,other_or_not_specified,1922.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,TAS,2024,total,541140.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2022,petrol,91968.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2022,diesel,69936.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2022,dual_fuel,365.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2022,hybrid_electric,2091.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2022,battery_fuel_cell_electric,139.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2022,other_or_not_specified,41.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2022,total,164540.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2023,petrol,90557.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2023,diesel,72020.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2023,dual_fuel,320.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2023,hybrid_electric,2895.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2023,battery_fuel_cell_electric,227.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 5,NT,2023,other_or_not_specified,40.0
