source_workbook,release_year,table,vehicle_type,year,motive_power,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2022,petrol,12507092.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2022,diesel,2111010.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2022,dual_fuel,87974.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2022,hybrid_electric,276453.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2022,battery_fuel_cell_electric,33777.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2022,other_or_not_specified,34222.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2022,total,15050528.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2023,petrol,12577849.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2023,diesel,2200911.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2023,dual_fuel,80040.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2023,hybrid_electric,362798.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2023,battery_fuel_cell_electric,72231.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2023,other_or_not_specified,31510.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2023,total,15325339.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2024,petrol,12672447.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2024,diesel,2286015.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2024,dual_fuel,73892.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2024,hybrid_electric,479289.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2024,battery_fuel_cell_electric,159458.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2024,other_or_not_specified,28751.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Passenger vehicles,2024,total,15699852.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,petrol,38977.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,diesel,50433.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,dual_fuel,945.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,hybrid_electric,90.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,battery_fuel_cell_electric,4.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,other_or_not_specified,124.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,total,90573.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2023,petrol,39808.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2023,diesel,53900.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2023,dual_fuel,884.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2023,hybrid_electric,101.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2023,battery_fuel_cell_electric,5.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2023,other_or_not_specified,113.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2023,total,94811.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2024,petrol,39098.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2024,diesel,57563.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2024,dual_fuel,812.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2024,hybrid_electric,112.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2024,battery_fuel_cell_electric,5.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2024,other_or_not_specified,111.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2024,total,97701.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,petrol,960958.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,diesel,2754094.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,dual_fuel,39573.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,hybrid_electric,270.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,battery_fuel_cell_electric,291.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,other_or_not_specified,29766.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,total,3784952.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2023,petrol,940411.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2023,diesel,2925511.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2023,dual_fuel,36094.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2023,hybrid_electric,821.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2023,battery_fuel_cell_electric,434.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2023,other_or_not_specified,28198.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2023,total,3931469.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2024,petrol,916608.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2024,diesel,3098706.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2024,dual_fuel,32455.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2024,hybrid_electric,1464.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2024,battery_fuel_cell_electric,688.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2024,other_or_not_specified,26444.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2024,total,4076365.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2022,petrol,4086.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2022,diesel,180845.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2022,dual_fuel,449.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2022,hybrid_electric,37.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2022,battery_fuel_cell_electric,13.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2022,other_or_not_specified,47.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2022,total,185477.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2023,petrol,4312.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2023,diesel,200122.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2023,dual_fuel,418.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2023,hybrid_electric,54.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2023,battery_fuel_cell_electric,21.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2023,other_or_not_specified,47.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2023,total,204974.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2024,petrol,4996.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2024,diesel,227268.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2024,dual_fuel,406.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2024,hybrid_electric,180.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2024,battery_fuel_cell_electric,203.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2024,other_or_not_specified,47.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light rigid trucks,2024,total,233100.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,petrol,10946.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,diesel,364763.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,dual_fuel,855.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,hybrid_electric,88.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,battery_fuel_cell_electric,51.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,other_or_not_specified,331.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2022,total,377034.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2023,petrol,10410.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2023,diesel,375582.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2023,dual_fuel,808.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2023,hybrid_electric,139.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2023,battery_fuel_cell_electric,89.0
