source_workbook,release_year,table,vehicle_type,year,motive_power,vehicles
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Articulated trucks,2021,battery_fuel_cell_electric,0.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Articulated trucks,2021,diesel,109532.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Articulated trucks,2021,dual_fuel,128.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Articulated trucks,2021,hybrid_electric,3.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Articulated trucks,2021,other,33.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Articulated trucks,2021,petrol,980.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Articulated trucks,2021,total,110676.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,battery_fuel_cell_electric,3.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,diesel,114557.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,dual_fuel,128.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,hybrid_electric,3.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Articulated trucks,2022,other,24.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,other_or_not_specified,24.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,petrol,935.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,total,115650.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Articulated trucks,2023,battery_fuel_cell_electric,3.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Articulated trucks,2023,diesel,119190.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Articulated trucks,2023,dual_fuel,147.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Articulated trucks,2023,hybrid_electric,3.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Articulated trucks,2023,other,27.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2023,other_or_not_specified,27.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Articulated trucks,2023,petrol,929.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Articulated trucks,2023,total,120299.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Articulated trucks,2024,battery_fuel_cell_electric,14.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Articulated trucks,2024,diesel,123152.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Articulated trucks,2024,dual_fuel,139.0
