source_workbook,release_year,table,vehicle_type,year,jurisdiction,average_age_years
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2022,NSW,10.03
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2022,VIC,10.57
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2022,QLD,10.99
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2022,SA,12.37
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2022,WA,11.41
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2022,TAS,12.43
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2022,NT,10.12
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2022,ACT,9.8
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2022,AUS,10.75
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2023,NSW,10.27
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2023,VIC,10.81
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2023,QLD,11.21
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2023,SA,12.64
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2023,WA,11.7
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2023,TAS,12.7
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2023,NT,10.25
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2023,ACT,10.12
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2023,AUS,11.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2024,NSW,10.45
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2024,VIC,10.98
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2024,QLD,11.38
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2024,SA,12.83
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2024,WA,11.89
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2024,TAS,12.96
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2024,NT,10.44
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2024,ACT,10.35
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Passenger vehicles,2024,AUS,11.18
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2022,NSW,15.5
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2022,VIC,16.41
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2022,QLD,17.12
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2022,SA,17.35
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2022,WA,22.55
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2022,TAS,22.54
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2022,NT,17.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2022,ACT,17.52
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2022,AUS,16.87
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2023,NSW,15.61
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2023,VIC,16.38
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2023,QLD,17.31
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2023,SA,17.73
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2023,WA,22.96
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2023,TAS,22.75
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2023,NT,16.3
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2023,ACT,17.92
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2023,AUS,16.98
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2024,NSW,15.79
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2024,VIC,16.44
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2024,QLD,17.2
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2024,SA,18.18
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2024,WA,23.46
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2024,TAS,23.05
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2024,NT,16.19
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2024,ACT,17.43
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Campervans,2024,AUS,17.06
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2022,NSW,10.3
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2022,VIC,11.08
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2022,QLD,11.34
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2022,SA,11.98
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2022,WA,11.79
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2022,TAS,13.53
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2022,NT,10.23
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2022,ACT,9.73
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2022,AUS,11.14
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2023,NSW,10.46
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2023,VIC,11.21
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2023,QLD,11.51
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2023,SA,12.1
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2023,WA,11.87
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2023,TAS,13.71
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2023,NT,10.33
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2023,ACT,9.95
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2023,AUS,11.28
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2024,NSW,10.59
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2024,VIC,11.32
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2024,QLD,11.64
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2024,SA,12.2
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2024,WA,11.96
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2024,TAS,13.92
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2024,NT,10.46
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2024,ACT,10.23
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light commercial vehicles,2024,AUS,11.41
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2022,NSW,10.17
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2022,VIC,9.68
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2022,QLD,11.79
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2022,SA,10.94
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2022,WA,11.41
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2022,TAS,13.97
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2022,NT,12.8
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2022,ACT,8.78
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2022,AUS,10.68
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2023,NSW,9.94
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2023,VIC,9.45
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2023,QLD,11.19
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2023,SA,10.54
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2023,WA,10.91
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2023,TAS,13.54
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2023,NT,12.12
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2023,ACT,8.81
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2023,AUS,10.33
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2024,NSW,9.54
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2024,VIC,9.09
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2024,QLD,10.28
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2024,SA,9.77
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2024,WA,9.8
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2024,TAS,12.8
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2024,NT,10.32
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2024,ACT,8.63
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light rigid trucks,2024,AUS,9.72
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2022,NSW,14.85
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2022,VIC,16.58
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2022,QLD,15.42
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2022,SA,18.79
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2022,WA,18.57
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2022,TAS,18.39
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2022,NT,14.63
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2022,ACT,11.65
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2022,AUS,16.31
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,NSW,14.84
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,VIC,16.51
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,QLD,15.39
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,SA,18.63
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,WA,18.5
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,TAS,18.62
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,NT,14.75
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,ACT,11.92
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2023,AUS,16.27
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,NSW,14.86
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,VIC,16.51
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,QLD,15.27
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,SA,18.42
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy rigid trucks,2024,WA,18.48
