source_workbook,release_year,table,vehicle_type,year,jurisdiction,vehicles
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Articulated trucks,2021,ACT,206.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Articulated trucks,2021,AUS,110676.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Articulated trucks,2021,NSW,25582.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Articulated trucks,2021,NT,1202.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Articulated trucks,2021,QLD,23927.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Articulated trucks,2021,SA,9541.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Articulated trucks,2021,TAS,2183.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Articulated trucks,2021,VIC,31343.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Articulated trucks,2021,WA,16692.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Articulated trucks,2022,ACT,189.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Articulated trucks,2022,AUS,115650.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Articulated trucks,2022,NSW,26794.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Articulated trucks,2022,NT,1285.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Articulated trucks,2022,QLD,25067.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Articulated trucks,2022,SA,9817.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Articulated trucks,2022,TAS,2205.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Articulated trucks,2022,VIC,32635.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Articulated trucks,2022,WA,17658.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2023,ACT,191.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2023,AUS,120299.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2023,NSW,27627.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2023,NT,1320.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2023,QLD,26048.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2023,SA,10312.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2023,TAS,2272.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2023,VIC,33758.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2023,WA,18771.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2024,ACT,194.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2024,AUS,124268.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2024,NSW,28051.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2024,NT,1372.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2024,QLD,26958.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2024,SA,10531.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2024,TAS,2381.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2024,VIC,34895.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2024,WA,19886.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2025,ACT,204.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2025,AUS,128383.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2025,NSW,28672.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2025,NT,1402.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2025,QLD,27880.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2025,SA,10842.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2025,TAS,2424.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2025,VIC,35897.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Articulated trucks,2025,WA,21062.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2021,ACT,1047.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2021,AUS,93635.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2021,NSW,25964.0
