workbook,sheet,dimension
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Index,A1:P38
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 1,B1:M56
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 2,B1:L53
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 3,B1:M53
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 4,B1:K61
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 5,B1:K50
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 6,A1:L99
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 7,A1:O52
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 8,B1:S41
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 9,B1:K51
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 10,B1:K54
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 11,B1:K54
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 12,B1:L54
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Table 13,B1:K54
data_raw/bitre/road_vehicles/bitre-road-vehicles-australia--january2024.xlsx,Explanatory Notes,A1:K21
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Index,A1:P35
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Table 1,B1:M52
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Table 2,B1:L49
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Table 3,B1:M49
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Table 5,B1:K48
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Table 4,B1:K57
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Table 6,A1:L81
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Table 7,A1:O51
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Table 8,B1:S41
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Table 9,B1:K49
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Table 10,B1:K49
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,Explanatory Notes,A1:K21
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Index,A1:M38
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 1,B1:M52
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 2,B1:L49
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 3,B1:M49
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 4,B1:L52
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 5,B1:K48
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 6,A1:L80
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 7,A1:N49
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 8,B1:S31
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 9,B1:K47
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 10,B1:L49
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 11,B1:M49
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 12,B1:M49
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Table 13,B1:M52
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,Explanatory Notes,A1:K21
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2025.xlsx,Index,A1:M38
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2025.xlsx,Table 1,B1:M54
data_raw/bitre/road_vehicles/BITRE-Road-Vehicles-Australia-January-2025.xlsx,Table 2,B1:L60
